objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,redshift,redshift_err,class
1237650370475000218,22.64911,20.83965,19.01544,18.34545,17.99233,0.1659586,0.1293139,0.08945873,0.06647742,0.04944699,0.3691812,6.033167e-05,GALAXY
1237650370475000505,21.38517,21.11853,19.9913,19.10462,18.55711,0.1715788,0.133693,0.09248819,0.06872864,0.05112148,0.6461672,0.0001183506,GALAXY
1237650370475065865,22.47913,20.93835,19.25604,18.49414,18.15228,0.1671537,0.130245,0.09010292,0.06695613,0.04980306,0.4713355,0.0001124789,GALAXY
1237650370475065895,23.53987,22.06032,20.34173,19.49705,19.20019,0.1663036,0.1295826,0.08964466,0.0666156,0.04954976,0.4702569,0.0001353068,GALAXY
1237650370475065961,23.52118,21.77945,19.93438,18.94146,18.5477,0.1679492,0.1308648,0.0905317,0.06727476,0.05004006,0.5176569,0.0001033805,GALAXY
1237650370475066051,22.54401,22.33063,21.2725,20.35985,20.07597,0.1675352,0.1305423,0.09030858,0.06710895,0.04991673,0.6490725,0.0001510723,GALAXY
1237650370475066071,22.85659,21.87158,20.77621,19.99115,19.61928,0.1681129,0.1309924,0.09061994,0.06734032,0.05008883,0.5812929,0.000125915,GALAXY
1237650370475131365,23.09835,22.04651,20.40362,19.23835,18.68608,0.181024,0.1410527,0.0975796,0.0725121,0.05393568,0.567236,0.0001672097,GALAXY
1237650370475131420,23.90587,21.96417,20.12799,19.29745,18.83168,0.1822685,0.1420224,0.09825046,0.07301062,0.05430648,0.4746042,9.701755e-05,GALAXY
1237650370475131507,21.83025,21.54074,20.28349,19.51924,19.02632,0.1730708,0.1348556,0.0932925,0.06932633,0.05156605,0.5173901,0.0001490507,GALAXY
1237650370475131755,22.04824,22.99147,20.94437,19.7997,19.26147,0.1789946,0.1394713,0.09648562,0.07169916,0.053331,0.6920377,0.0002144339,GALAXY
1237650370475196732,23.25251,21.63569,20.08954,19.25883,18.74244,0.1825981,0.1422792,0.09842811,0.07314263,0.05440468,0.4699093,0.0002568054,GALAXY
1237650370475196810,23.35323,21.79341,20.28887,19.51025,18.93107,0.188723,0.1470517,0.1017297,0.07559607,0.05622959,0.4409453,0.0001304571,GALAXY
1237650370475196827,23.66701,22.24088,21.15533,20.01023,19.4279,0.1886112,0.1469646,0.1016694,0.07555126,0.05619626,0.5710595,0.000239714,GALAXY
1237650370475196915,24.21943,22.21854,20.38671,19.43457,18.95701,0.1902326,0.1482279,0.1025434,0.07620073,0.05667935,0.5176575,0.0001493004,GALAXY
1237650370475261962,24.27899,22.63827,19.45871,18.46461,18.18526,0.1896182,0.1477492,0.1022122,0.07595465,0.05649631,0.4490929,9.364478e-05,GALAXY
1237650370475262022,24.12249,21.74342,19.18972,18.4649,18.16782,0.1897933,0.1478857,0.1023066,0.07602478,0.05654847,0.4023861,4.668362e-05,GALAXY
